Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.
Apeiba glabra,5539.62,21.733,82.339,27.98,16.1,0.319
Apeiba membranacea,8928.58,23.147,69.379,28.37,16.4562,0.299
Apeiba petoumo,9287.69,19.672,71.753,25.014,160.947,0.31
Apeiba tibourbou,16660.02,26.103,59.499,23.432,8.4647,0.23
Aphanes arvensis,38,16.46,59.128,0.109,0.1469,0.232
Aphyllanthes monspeliensis,147,23.288,186.069,0.23,1.3587,0.249
Apium nodiflorum,4231.59,50.076,17.337,0.333,0.4721,0.149
Apocynum androsaemifolium,7156.82,17.256,51.6,0.736,0.2289,0.271
Apodytes dimidiata,942.02,21.115,153.784,8.66,104.4,0.605
Aposeris foetida,2903.33,25.37,17.75,0.106,2.17,0.144
Aquilegia atrata,10053.39,35.807,17.156,0.424,1.3849,0.189
Aquilegia einseleana,689.65,28.825,47.408,0.152,0.8585,0.215
Aquilegia vulgaris,3108.14,23.2,38.788,0.55,1.4875,0.248
Arabidopsis thaliana,243.06,35.7,31.175,0.126,0.0162,0.148
Arabis alpina,87.65,29.4,37.559,0.142,0.2015,0.167
Arabis hirsuta,177.46,20,42.899,0.372,0.0908,0.18
Arabis turrita,1410.33,39.865,28.046,0.318,0.4947,0.152
Aralia hispida,2776.76,20.427,69.831,0.33,4.57,0.263
Araucaria araucana,330,5.8,318.471,50,4203.9654,0.556
Arbutus menziesii,4276.55,11.529,152.678,19.718,92.6492,0.563
Arbutus unedo,1507.07,13.47,121.244,4.479,2.6429,0.781
Archidendron clypearia,411.43,24.85,75.586,10,157,0.32
Arctium lappa,6168.92,39.851,52.419,1.353,11.9017,0.198
Arctium minus,114187.35,38.395,43.14,0.722,9.3573,0.185
Arctostaphylos tomentosa,578.54,9.551,140.551,3.9,13.8429,0.72
Ardisia ambigua,6630.37,13,60.479,11.84,76.66,0.499
Ardisia polysticta,4089.7,24.75,50.4,2.5,85.3,0.289
Ardisia revoluta,3019,14.485,138.885,4,53.99,0.692
Arenaria aggregata,4.07,19.698,103.701,0.044,0.2706,0.28
Arenaria lanuginosa,40,17.96,44.843,0.15,0.17,0.174
Arenaria serpyllifolia,7.33,13.953,50.149,0.102,0.0671,0.12
Arisaema triphyllum,6946.4,29.401,25.705,0.474,18.2852,0.063
Aristida achalensis,1419.43,10.108,105.991,0.442,1,0.428
Aristida adscensionis,70.2,16.384,82.305,0.304,0.6064,0.343
Aristida oligantha,135.4,14.63,36.193,0.26,2.81,0.66
Aristida purpurea,20,9.88,153.846,0.171,1.0587,0.385
Aristotelia serrata,3809.06,21.523,36.634,3.851,3.9106,0.422
Armeria maritima,129.06,17,68.952,0.156,1.4075,0.19
Arnica montana,1601.5,17.906,54.336,0.303,1.67,0.159
Arnoglossum plantagineum,1484.55,17.112,109.715,0.773,3.552,0.401
Arrhenatherum elatius,856.74,31.342,36.071,0.798,2.7384,0.173
Artemisia absinthium,1032.69,22.1,37.611,0.743,0.1047,0.208
Artemisia californica,24.4,18.8,92.506,1.975,0.06,0.75
Artemisia campestris,178.14,18.88,64.662,0.499,0.1218,0.192
Artemisia carruthii,74,23.38,64.935,0.26,0.05,0.335
Artemisia dracunculus,87.72,25.48,59.88,0.788,0.115,0.258
Artemisia ludoviciana,262.21,18.905,61.363,0.486,0.1241,0.259
Artemisia vulgaris,2373.93,32.247,42.302,1.377,0.1439,0.222
Artocarpus elasticus,36201.53,16.152,138.259,20.801,150,0.363
Artocarpus heterophyllus,6877.84,24.6,105.708,14,9491.5458,0.483
Artocarpus nitidus,4183.59,14.366,95.041,28,200,0.48
Arum maculatum,9170.61,42.31,30.35,0.233,34.9566,0.103
Aruncus dioicus,97188.52,41.374,23.662,1.103,0.0881,0.198
Arundo donax,15233.18,24.778,80.704,2.74,0.1,0.341
Asarum europaeum,2991.83,27.291,37.665,0.074,3.5633,0.167
Asclepias incarnata,1575.35,15.9,60.874,1.048,2.3466,0.215
Asclepias syriaca,6376.17,19.52,62.982,0.916,5.5249,0.198
Asclepias tuberosa,713.38,24.478,50.413,0.531,6.6079,0.202
Asclepias verticillata,47.17,16.3,50.196,0.481,2.1443,0.208
Asclepias viridis,2056.99,29.371,96.807,0.468,3.2093,0.211
Asperula aristata,27.86,26.689,55.379,0.215,0.74,0.212
Asperula cynanchica,17.5,15,35.638,0.174,0.8371,0.264
Asperula purpurea,12.06,14.847,67.303,0.234,0.66,0.261
Aspidosperma album,4305.81,13.037,149.731,22.065,323.62,0.764
Aspidosperma desmanthum,6936.65,16.464,118.446,37.531,1334.7138,0.605
Aspidosperma quebracho-blanco,180.98,16.702,204.065,9,130.8,0.835
Aspidosperma spruceanum,4555.55,20.733,116.574,38.62,703.131,0.847
Aster alpinus,164.63,28.4,61.463,0.074,0.5131,0.237
Aster amellus,501.56,21.1,75.248,0.265,0.6469,0.201
Astilbe rubra,700,21.39,24.72,0.775,0.13,0.21
Astragalus alpinus,24.46,46.121,40.564,0.088,2.15,0.172
Astragalus canadensis,129.4,41.3,69.095,0.684,1.867,0.23
Astragalus humistratus,20.71,26.28,65.789,0.04,1.95,0.316
Astragalus rusbyi,32.38,44.29,41.152,0.31,2.49,0.179
Astrantia major,9997.83,35.35,42.263,0.437,3.1667,0.094
Astronium graveolens,1716.62,28.197,60.845,29.158,27.8406,0.785
Atamisquea emarginata,54.96,25.801,141.379,2.362,12.5,0.82
Athyrium microphyllum,55.79,24.755,38.077,0.317,2.00E-05,0.3
Athyrium wallichianum,56,31.39,87.032,0.32,2.00E-05,0.3
Atriplex canescens,60,25.065,251.889,1.1,6.8082,0.875
Atriplex centralasiatica,79,17.036,76.406,0.22,5.27,0.226
Atriplex littoralis,651.71,28.85,67.059,0.635,1.3961,0.15
Atropa belladonna,7296.48,51.617,35.603,0.898,0.8476,0.182
Austrocedrus chilensis,7,10.9,196.078,22.34,10.46,0.48
Avena barbata,119,21.336,52.15,0.494,7.2355,0.215
Avena fatua,5179.67,28.3,50.717,0.819,14.8294,0.207
Avena sativa,4344.5,50.3,49.804,0.958,31.9584,0.171
Avena sterilis,1204.13,21.823,42.529,0.574,19.3508,0.187
Avicennia germinans,1099.56,18,132.138,9.14,10120,0.773
Azadirachta indica,675,28.59,79.051,15,232.7575,0.624
Baccharis pilularis,155.56,23.918,96.959,3.331,0.0856,0.59
Banksia aemula,1275.19,6.874,203.658,7,82.1577,0.546
Banksia integrifolia,3019,9,215.517,24.865,14.2614,0.48
Banksia marginata,273.57,8.21,186.377,5.692,8.1662,0.46
Baptisia alba,518.88,22.3,60.184,1.49,16.2425,0.268
Bartsia alpina,185.88,20.522,60.383,0.157,0.2916,0.195
Bassia prostrata,440.5,30.083,51.64,0.342,0.44,0.257
Bassia scoparia,44.62,33.628,37.444,0.973,1.0959,0.192
Batocarpus amazonicus,7248.37,24,61.665,22.361,378.15,0.505
Bauhinia variegata,3019,30.1,76.22,10.392,273.0509,0.648
Beckwithia glacialis,259.8,33.77,69.454,0.077,0.31,0.17
Beilschmiedia pendula,6596.93,17.487,110.473,25.802,4037.2682,0.518
Bellidastrum michelii,1095.5,25.61,42.978,0.129,0.21,0.159
Bellis perennis,358.55,25.006,33.088,0.053,0.1207,0.103
Berberis vulgaris,380.87,22.554,78.42,1.866,13.7885,0.738
Berteroa incana,152.2,18.763,49.669,0.445,0.597,0.215
Bertholletia excelsa,13723.57,26.7,91.334,48.861,6500,0.634
Berula erecta,3491.93,40.266,27.786,0.833,0.5569,0.142
Betula alleghaniensis,3174.32,20.952,29.133,29.044,0.8352,0.66
Betula lenta,4153.06,26.872,47.62,23.542,0.7017,0.71
Betula nigra,2167,22.733,84.746,25.781,1.2067,0.51
Betula papyrifera,2536.38,23.834,63.584,14.698,0.3278,0.56
Betula pendula,1135.68,25.138,69.708,12.025,0.6869,0.613
Betula platyphylla,1223.89,23.469,66.25,25.717,0.1549,0.512
Betula populifolia,1078.71,19.732,62.741,8.699,0.0845,0.55
Betula pubescens,1327.98,18.86,71.448,12.589,0.2045,0.519
Betula utilis,3000,25.181,58.005,20,0.4042,0.574
Bhesa paniculata,5356.67,15.705,92.005,14.491,77,0.652
Bidens andicola var. andicola,1495.6,23.94,47.347,0.17,1.1,0.243
Bidens frondosa,1089.7,25.06,35.77,0.527,3.8654,0.16
Bidens tripartita,2289.45,23.545,32.317,0.507,2.4549,0.172
Bischofia javanica,3019,14.731,102.355,21.036,11.1472,0.565
Biscutella laevigata,877.94,30.95,52.657,0.22,4.3149,0.158
Bixa orellana,25739,21.35,52.118,8,25.7843,0.366
Blackstonia perfoliata,274.57,16.497,41.453,0.25,0.0103,0.188
Blechnum chambersii,174.78,13.9,33.102,0.35,1.00E-05,0.37
Blechnum discolor,618.49,7.45,79.819,0.809,1.00E-05,0.37
Blechnum fluviatile,106.24,12.9,33.673,0.282,1.00E-05,0.37
Blepharoneuron tricholepis,48,11,149.254,0.618,0.2366,0.358
Blysmus compressus,278.86,22.36,68.213,0.239,0.5327,0.251
Blysmus rufus,45.5,15.09,105.374,0.152,1.0533,0.26
Bombax ceiba,2731.62,18.3,115.473,13.99,47.7477,0.287
Bothriochloa ischaemum,194.8,14.303,42.564,0.36,0.6307,0.23
Bouteloua aristidoides,314.96,15.916,79.696,0.033,0.2948,0.431
Bouteloua curtipendula,618.62,12.652,60.113,0.568,0.8636,0.428
Brachychiton populneus,1363.95,16.966,118.307,13.116,108.6651,0.36
Brachypodium distachyon,50.33,16.722,36.534,0.157,2.6642,0.29
Brachypodium phoenicoides,797.45,15.416,74.331,0.368,2.8269,0.31
Brachypodium pinnatum,1241.14,20.754,40.035,0.534,2.7009,0.302
Brachypodium retusum,60.08,12.535,105.726,0.395,2.991,0.437
Brachypodium sylvaticum,2195.1,21.555,23.118,0.662,1.5549,0.293
Brassica oleracea,1658.16,48.2,38.195,0.641,3.8173,0.122
Bridelia retusa,9050,19.5,86.356,15,79.4,0.596
Briza media,292.35,17.689,46.233,0.36,0.3711,0.28
Bromelia urbaniana,2130,9.163,411.532,0.213,3,0.239
Bromus arvensis,1085,25.29,55.232,0.479,1.9094,0.242
Bromus catharticus,1105.92,39.485,56.959,0.626,8.2705,0.253
Bromus ciliatus,426.61,12.496,37.833,0.721,3.5325,0.284
Bromus erectus,482.06,16.272,58.252,0.623,3.9142,0.353
Bromus hordeaceus,175.18,25.027,45.608,0.219,2.0545,0.235
Bromus inermis,1111.67,20.285,53.64,0.877,2.8865,0.304
Bromus lanceolatus,83.34,21.169,36.993,0.353,2.7367,0.243
Bromus madritensis,122.5,19.073,32.385,0.183,2.2502,0.228
Bromus ramosus,3510.58,29.9,40.816,1.093,6.7745,0.222
Bromus rigidus,684.85,18.633,46.116,0.482,10.32,0.219
Bromus sterilis,490.07,25.41,30.364,0.553,7.1018,0.349
Bromus tectorum,288.69,21.773,38.993,0.367,3.1465,0.307
Bromus variegatus,154.12,22.79,64.935,0.08,2.58,0.287
Brosimum alicastrum,2913.34,23.267,85.095,35.969,854.3931,0.614
Brosimum lactescens,5284.13,20.228,93.037,41.66,611.44,0.612
Brosimum rubescens,858.84,18.427,74.775,40,615.2811,0.754
Brosimum utile,5101.93,16.005,107.002,44.306,2265.45,0.486
Broussonetia papyrifera,18166.75,31.431,45.445,7.204,1.6097,0.29
Brownea grandiceps,7504.96,20.54,79.808,10,12249.8338,0.69
Buchanania cochinchinensis,10025,19.9,115.741,15,254.0476,0.423
Buchanania obovata,15700,12.352,154.059,10,301.4478,0.4
Buchenavia grandis,7047.6,26.651,42.008,13.635,1784.6832,0.759
Buglossoides arvensis,142.5,37.704,42.041,0.238,5.6169,0.177
Buglossoides purpurocaerulea,515.38,18.38,27.02,0.437,12.07,0.174
Bunias orientalis,4577.62,51.6,42.373,0.592,25.3893,0.171
Buphthalmum salicifolium,914,19.731,38.88,0.403,0.4171,0.19
Bupleurum baldense,32,18.9,62.085,0.067,0.3926,0.268
Bupleurum falcatum,741.16,16.269,53.222,0.542,2.913,0.239
Bupleurum ranunculoides,341.83,20.218,100.813,0.238,1.55,0.263
Bursera simaruba,942.22,16.16,75.223,23.257,107.85,0.346
Butea monosperma,9691,25.4,140.056,20,1032.679,0.423
Buxus sempervirens,134.81,17.568,118.144,2.38,12.908,0.78
Byrsonima arthropoda,9845.5,25.52,64.809,35,156.57,0.61
Byrsonima crassifolia,3000,15.85,87.4,10,2.437,0.614
Cabralea canjerana,4439.41,32.584,76.259,35,980,0.692
Calamagrostis arundinacea,2019.99,20.811,50.132,0.913,0.4617,0.494
Calamagrostis canescens,557.93,19.6,47.672,1.459,0.0778,0.31
Calamagrostis epigejos,1230.83,20.613,64.553,0.658,0.0624,0.299
Calamagrostis varia,1397.51,20.064,39.307,0.616,0.123,0.271
Calamagrostis villosa,1071.5,24.475,37.929,0.69,0.1,0.259
Calla palustris,9351.6,25.675,29.987,0.19,1.7186,0.095
Callitris columellaris,10.16,11.143,263.471,16.915,6.392,0.579
Calluna vulgaris,1.4,13.16,84.376,0.447,0.0265,0.472
Calophyllum brasiliense,3708.6,11.055,91.833,25.421,1856.4684,0.543
Calophyllum longifolium,8234.25,11.153,183.466,35.23,4024.1457,0.546
Calophyllum polyanthum,3019,16.4,164.974,21.909,2500,0.43
Caltha palustris,6216.07,34.581,36.243,0.248,1.0116,0.163
Calystegia sepium,3285.04,31.56,29.623,1.416,29.2444,0.15
Calystegia silvatica,3092,27.71,43.309,1.952,37.0243,0.211
Calystegia soldanella,734.5,23.4,64.149,0.249,58.0512,0.159
Camelina microcarpa,442.25,51.73,50.025,0.37,0.3025,0.169
Campanula barbata,272.41,19.017,49.9,0.206,0.05,0.212
Campanula glomerata,1152.1,27,36.222,0.31,0.1382,0.208
Campanula persicifolia,496.83,20,40.727,0.615,0.0637,0.301
Campanula rapunculus,565.73,32.847,25.861,0.596,0.0302,0.177
Campanula rotundifolia,62.67,19.698,44.405,0.227,0.0546,0.388
Campanula scheuchzeri,50.97,34.119,59.816,0.17,0.1208,0.219
Campanula sibirica,202.82,17.1,74.872,0.265,0.0594,0.206
Campanula spicata,2383.49,23.751,47.809,0.389,0.06,0.166
Campanula trachelium,3601,30.141,25.624,0.654,0.189,0.174
Canarium denticulatum,3861.47,19.5,29.028,30,10100,0.472
Cannabis sativa,4865.13,32.76,38.481,1.35,13.9479,0.219
Capparidastrum frondosum,7488.72,28.654,80.353,2,102.8628,0.635
Capparis baducca,3803.45,16.33,55.851,4.708,120,0.48
Capsella bursa-pastoris,511.7,37.567,35.251,0.185,0.1159,0.312
Cardamine bellidifolia,64.1,46.081,30.807,0.065,0.16,0.168
Cardamine bulbifera,2206.83,36.074,24.77,0.425,2.7,0.172
Cardamine enneaphyllos,15414.94,33.2,21.932,0.247,6.38,0.15
Cardamine heptaphylla,28081.25,51.597,26.055,0.359,6.02,0.164
Cardamine hirsuta,322.02,17.86,35.96,0.121,0.1084,0.157
Carduus acanthoides,4651.8,45.26,54.386,0.766,2.1992,0.162
Carduus defloratus,3453,18.43,78.219,0.453,2.49,0.185
Carduus nutans,4575.78,33.08,59.493,0.632,2.9802,0.16
Carex acuta,1947.94,27.37,73.763,0.88,1.25,0.13
Carex acutiformis,7035,12.8,64.065,0.705,0.8396,0.296
Carex alba,113.81,18.798,41.88,0.137,1.5993,0.307
Carex aquatilis,1350.4,19.744,78.602,0.896,0.4429,0.385
Carex arenaria,395.25,19.22,75.722,0.22,0.8411,0.242
Carex atrata,519.29,25.826,54.423,0.22,0.5283,0.27
Carex atrofusca,116.24,19.37,46.417,0.124,0.49,0.27
Carex bigelowii,418.68,20.175,70.683,0.134,0.5369,0.333
Carex binervis,316,17.13,66.01,0.515,1.4857,0.292
Carex brizoides,1382.75,26.394,34.818,0.499,0.3073,0.299
Carex canescens,372.13,21.686,37.642,0.358,0.3206,0.258
Carex caryophyllea,205.87,19.954,48.945,0.13,1.0124,0.166
Carex curvula,77.23,11.879,108.267,0.123,2.0792,0.485
Carex digitata,469.46,20,34.772,0.204,1.3281,0.279
Carex elata,2693.25,18.7,72.411,0.848,0.6898,0.305
Carex flacca,585.76,16.444,64.261,0.258,0.8405,0.205
Carex flava,331,11.295,45.496,0.202,1.0241,0.216
Carex fuscula,613.99,21.082,56.192,0.051,0.6106,0.319
Carex geophila,107,13,94.34,0.09,0.67,0.305
Carex halleriana,243.05,16.696,70.22,0.167,1.8062,0.347
Carex hirta,1097.53,21.978,50.75,0.269,2.2252,0.166
Carex humilis,132.49,15.779,61.452,0.083,1.1837,0.349
Carex lasiocarpa,811.54,17.677,96.245,0.58,3.7496,0.324
Carex meadii,177.26,18.566,78.493,0.245,2.9,0.27
Carex montana,276.94,16.906,56.959,0.173,0.6723,0.294
Carex nigra,466.86,19.654,44.224,0.165,0.7402,0.316
Carex pallescens,2168.1,16.647,48.338,0.477,1.0998,0.304
Carex panicea,597.03,17.402,50.128,0.275,1.9123,0.298
Carex paniculata,3774.24,23.2,60.521,0.656,0.8373,0.265
Carex pilulifera,266.34,24.704,43.889,0.185,1.1263,0.285
Carex remota,301.53,16.347,36.339,0.433,0.3999,0.2
Carex riparia,11755.51,18.293,75.417,0.936,2.074,0.287
Carex rostrata,1698.77,19.268,65.32,0.469,1.034,0.214
Carex saxatilis,315.57,28.977,87.451,0.167,0.6812,0.295
Carex sempervirens,344.32,16.463,78.183,0.206,0.896,0.32
Carex sylvatica,677,21.8,38.318,0.451,1.5489,0.266
